t,velocity
1.000000,15.000000
1.000000,7.377759
1.000000,5.650072
1.000000,5.923643
1.000000,5.945733
1.000000,5.957019
1.000000,5.956954
1.000000,5.957238
1.000000,5.957268
1.000000,5.957277
2.000000,15.000000
2.000000,8.290660
2.000000,-1.#IND00
2.000000,-1.#IND00
2.000000,-1.#IND00
2.000000,-1.#IND00
2.000000,-1.#IND00
2.000000,-1.#IND00
2.000000,-1.#IND00
2.000000,-1.#IND00
3.000000,15.000000
3.000000,-1.#IND00
3.000000,-1.#IND00
3.000000,-1.#IND00
3.000000,-1.#IND00
3.000000,-1.#IND00
3.000000,-1.#IND00
3.000000,-1.#IND00
3.000000,-1.#IND00
3.000000,-1.#IND00
4.000000,15.000000
4.000000,-1.#IND00
4.000000,-1.#IND00
4.000000,-1.#IND00
4.000000,-1.#IND00
4.000000,-1.#IND00
4.000000,-1.#IND00
4.000000,-1.#IND00
4.000000,-1.#IND00
4.000000,-1.#IND00
5.000000,15.000000
5.000000,-1.#IND00
5.000000,-1.#IND00
5.000000,-1.#IND00
5.000000,-1.#IND00
5.000000,-1.#IND00
5.000000,-1.#IND00
5.000000,-1.#IND00
5.000000,-1.#IND00
5.000000,-1.#IND00
6.000000,15.000000
6.000000,-1.#IND00
6.000000,-1.#IND00
6.000000,-1.#IND00
6.000000,-1.#IND00
6.000000,-1.#IND00
6.000000,-1.#IND00
6.000000,-1.#IND00
6.000000,-1.#IND00
6.000000,-1.#IND00
7.000000,15.000000
7.000000,-1.#IND00
7.000000,-1.#IND00
7.000000,-1.#IND00
7.000000,-1.#IND00
7.000000,-1.#IND00
7.000000,-1.#IND00
7.000000,-1.#IND00
7.000000,-1.#IND00
7.000000,-1.#IND00
8.000000,15.000000
8.000000,-1.#IND00
8.000000,-1.#IND00
8.000000,-1.#IND00
8.000000,-1.#IND00
8.000000,-1.#IND00
8.000000,-1.#IND00
8.000000,-1.#IND00
8.000000,-1.#IND00
8.000000,-1.#IND00
9.000000,15.000000
9.000000,-1.#IND00
9.000000,-1.#IND00
9.000000,-1.#IND00
9.000000,-1.#IND00
9.000000,-1.#IND00
9.000000,-1.#IND00
9.000000,-1.#IND00
9.000000,-1.#IND00
9.000000,-1.#IND00
10.000000,15.000000
10.000000,-1.#IND00
10.000000,-1.#IND00
10.000000,-1.#IND00
10.000000,-1.#IND00
10.000000,-1.#IND00
10.000000,-1.#IND00
10.000000,-1.#IND00
10.000000,-1.#IND00
10.000000,-1.#IND00
11.000000,15.000000
11.000000,-1.#IND00
11.000000,-1.#IND00
11.000000,-1.#IND00
11.000000,-1.#IND00
11.000000,-1.#IND00
11.000000,-1.#IND00
11.000000,-1.#IND00
11.000000,-1.#IND00
11.000000,-1.#IND00
12.000000,15.000000
12.000000,-1.#IND00
12.000000,-1.#IND00
12.000000,-1.#IND00
12.000000,-1.#IND00
12.000000,-1.#IND00
12.000000,-1.#IND00
12.000000,-1.#IND00
12.000000,-1.#IND00
12.000000,-1.#IND00
13.000000,15.000000
13.000000,-1.#IND00
13.000000,-1.#IND00
13.000000,-1.#IND00
13.000000,-1.#IND00
13.000000,-1.#IND00
13.000000,-1.#IND00
13.000000,-1.#IND00
13.000000,-1.#IND00
13.000000,-1.#IND00
14.000000,15.000000
14.000000,-1.#IND00
14.000000,-1.#IND00
14.000000,-1.#IND00
14.000000,-1.#IND00
14.000000,-1.#IND00
14.000000,-1.#IND00
14.000000,-1.#IND00
14.000000,-1.#IND00
14.000000,-1.#IND00
15.000000,15.000000
15.000000,-1.#IND00
15.000000,-1.#IND00
15.000000,-1.#IND00
15.000000,-1.#IND00
15.000000,-1.#IND00
15.000000,-1.#IND00
15.000000,-1.#IND00
15.000000,-1.#IND00
15.000000,-1.#IND00
16.000000,15.000000
16.000000,-1.#IND00
16.000000,-1.#IND00
16.000000,-1.#IND00
16.000000,-1.#IND00
16.000000,-1.#IND00
16.000000,-1.#IND00
16.000000,-1.#IND00
16.000000,-1.#IND00
16.000000,-1.#IND00
17.000000,15.000000
17.000000,-1.#IND00
17.000000,-1.#IND00
17.000000,-1.#IND00
17.000000,-1.#IND00
17.000000,-1.#IND00
17.000000,-1.#IND00
17.000000,-1.#IND00
17.000000,-1.#IND00
17.000000,-1.#IND00
18.000000,15.000000
18.000000,-1.#IND00
18.000000,-1.#IND00
18.000000,-1.#IND00
18.000000,-1.#IND00
18.000000,-1.#IND00
18.000000,-1.#IND00
18.000000,-1.#IND00
18.000000,-1.#IND00
18.000000,-1.#IND00
19.000000,15.000000
19.000000,-1.#IND00
19.000000,-1.#IND00
19.000000,-1.#IND00
19.000000,-1.#IND00
19.000000,-1.#IND00
19.000000,-1.#IND00
19.000000,-1.#IND00
19.000000,-1.#IND00
19.000000,-1.#IND00
20.000000,15.000000
20.000000,-1.#IND00
20.000000,-1.#IND00
20.000000,-1.#IND00
20.000000,-1.#IND00
20.000000,-1.#IND00
20.000000,-1.#IND00
20.000000,-1.#IND00
20.000000,-1.#IND00
20.000000,-1.#IND00
